Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# unaligned contigs	Unaligned length	# N's per 100 kbp	QuastReferenceSequence	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	Genome fraction (%)	Duplication ratio	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	ToolName	QuastType	SRAssemblerUsed
KP_NORM_BLD_117477.plasmid	3	3	3	3	1	1	122799	122799	122799	122799	96010	96010	3	96010	122799	163351	51.44	51.33	96010	96010	16718	-	78167.1	58762.0	1	1	2	-	0 + 0 part	0	0.0	KP_NORM_BLD_117477__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.175	1.0	0.0	0.0	96010.0	122799.0	96010	96010	16718	-	78167.1	58762.0	1	1	2	-	Platon	CombinedPlasmids	spades
KGMAR-2019-1434.plasmid	23	23	9	3	2	0	160526	160526	126217	82779	62813	0	23	37348	160526	272964	50.6	52.64	19966	3111	2754	-	17861.3	10504.0	3	12	15	-	1 + 2 part	4239	0.0	KGMAR-2019-1434__allPlasmids	1.0	1.0	2754.0	1.0	0.0	0.0	1.0	56.775	1.008	35.2	3.2	37348.0	156256.0	19966	3111	2199	-	17779.1	10455.6	3	12	15	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13123.plasmid	2	2	1	0	0	0	8485	8485	7427	0	0	0	2	7427	8485	7300	47.19	46.16	7427	7427	1058	7427	6632.8	7709.5	1	1	2	1	1 + 0 part	1058	0.0	KP_NORM_BLD_13123__allPlasmids	1.0	1.0	7427.0	1.0	0.0	0.0	0.0	96.863	1.05	121.18	0.0	4037.0	7427.0	3390	4037	-	3390	3275.1	3806.8	2	1	-	2	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13127.plasmid	12	12	5	2	1	1	138786	138786	116000	94527	75675	75675	12	75675	138786	235106	50.61	51.42	75675	4706	3428	-	45564.6	26897.3	1	6	8	-	0 + 0 part	0	0.0	KP_NORM_BLD_13127__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.92	1.002	0.72	2.16	75675.0	138786.0	75675	4706	3428	-	45564.6	26897.3	1	6	8	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_1347.plasmid	2	2	1	1	1	1	107995	107995	103691	103691	103691	103691	2	103691	107995	104258	54.06	54.15	103691	103691	103691	103691	99730.1	103304.8	1	1	1	1	1 + 0 part	4304	0.0	KP_NORM_BLD_1347__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.456	1.0	0.0	0.0	103691.0	103691.0	103691	103691	103691	103691	99558.5	103127.1	1	1	1	1	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13129.plasmid	16	16	10	8	4	1	275102	275102	257507	244243	177969	55188	16	55188	275102	312624	51.9	52.67	45445	28830	7326	-	34864.6	30680.0	3	4	9	-	1 + 1 part	5715	0.0	KP_NORM_BLD_13129__allPlasmids	3.0	3.0	78104.0	0.0	0.0	0.0	0.0	84.773	1.016	3.71	2.23	55141.0	269290.0	40842	28830	4139	-	32021.1	28177.9	3	4	11	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13379.plasmid	19	19	12	7	3	2	342763	342763	324035	285088	216334	185785	19	108294	342763	358524	51.89	52.29	77491	77491	7930	5368	59242.5	56638.2	2	2	10	12	0 + 2 part	8425	0.0	KP_NORM_BLD_13379__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.072	1.002	6.58	0.6	108294.0	334338.0	77491	77491	7930	4654	59123.7	56524.6	2	2	10	12	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13375.plasmid	9	9	7	3	3	3	275699	275699	271138	239109	239109	239109	9	110065	275699	305256	50.04	50.07	66537	66537	9565	2185	75178.2	67899.0	2	2	4	9	0 + 0 part	0	0.0	KP_NORM_BLD_13375__allPlasmids	1.0	1.0	66537.0	0.0	0.0	0.0	0.0	90.064	1.001	22.9	4.73	110065.0	275066.0	62507	62507	9023	2185	68970.5	62292.3	2	2	6	10	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2008_54824.plasmid	6	6	5	5	2	1	194436	194436	190602	190602	147729	108883	6	108883	194436	203765	52.22	52.51	108883	108883	12162	12037	72109.8	68808.4	1	1	4	5	0 + 0 part	0	0.0	KP_NORM_BLD_2008_54824__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.359	1.001	1.54	0.0	108883.0	194436.0	108883	108883	12162	12037	72109.8	68808.4	1	1	4	5	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13380.plasmid	22	22	12	7	4	3	387804	387804	351352	317836	265396	231582	22	128181	387804	444047	51.95	52.09	50036	50036	5134	-	62684.2	54744.6	3	3	12	-	0 + 0 part	0	0.0	KP_NORM_BLD_13380__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.231	1.001	0.26	0.77	128181.0	387804.0	50036	50036	5134	-	62684.2	54744.6	3	3	12	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13534.plasmid	13	13	8	5	3	2	217049	217049	204248	186604	151493	105707	13	53156	217049	224797	49.75	49.86	45786	45786	5435	5350	38903.1	37562.3	3	3	7	8	0 + 0 part	0	0.0	KP_NORM_BLD_13534__allPlasmids	1.0	1.0	6859.0	0.0	0.0	0.0	0.0	96.327	1.002	6.45	2.3	53156.0	217049.0	45786	45786	5350	3791	38804.7	37467.2	3	3	7	9	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13382.plasmid	25	25	14	5	0	0	184904	184904	147585	78835	0	0	25	19183	184904	221168	51.14	51.7	8819	8332	3383	-	10650.2	8904.0	7	9	19	-	1 + 3 part	12495	0.0	KP_NORM_BLD_13382__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	1.0	77.494	1.006	16.82	3.48	19183.0	172364.0	8819	8287	2886	-	10401.7	8696.1	7	9	19	-	Platon	CombinedPlasmids	spades
KGVETS-2019-01-476.plasmid	3	3	2	1	1	0	43660	43660	40645	31224	31224	0	3	31224	43660	44080	49.89	49.94	31224	31224	9421	9421	24571.3	24337.2	1	1	2	2	0 + 0 part	0	0.0	KGVETS-2019-01-476__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.152	0.999	0.0	4.58	31224.0	43660.0	31224	31224	9421	9421	24571.3	24337.2	1	1	2	2	Platon	CombinedPlasmids	spades
KP_NORM_BLD_1348.plasmid	2	2	1	1	1	1	114404	114404	109447	109447	109447	109447	2	109447	114404	115361	49.56	49.61	109447	109447	109447	109447	104919.6	104049.2	1	1	1	1	0 + 0 part	0	0.0	KP_NORM_BLD_1348__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.06	1.001	0.0	0.87	109447.0	114404.0	109447	109447	109447	109447	104919.6	104049.2	1	1	1	1	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13748.plasmid	43	43	14	5	1	0	237365	237365	156231	90383	38322	0	43	38322	237365	368096	51.15	51.97	8195	4542	2467	-	12593.7	8121.0	9	20	29	-	0 + 1 part	993	0.0	KP_NORM_BLD_13748__allPlasmids	0.0	0.0	0.0	1.0	0.0	0.0	0.0	63.808	1.006	36.82	4.66	38322.0	236263.0	8195	4191	2117	-	12534.9	8083.1	9	21	30	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13738.plasmid	16	16	8	5	2	1	194863	194863	170209	148956	105669	65889	16	65889	194863	215572	50.93	51.26	39780	18507	4404	1060	35035.1	31669.5	2	3	10	16	0 + 1 part	2111	0.0	KP_NORM_BLD_13738__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	1.0	89.115	1.003	2.08	1.04	65889.0	192752.0	39780	18507	4404	-	35006.4	31643.5	2	3	10	-	Platon	CombinedPlasmids	spades
KGVETS-2019-01-1961.plasmid	11	11	7	5	5	2	283964	283964	275751	264092	264092	163237	11	109987	283964	285493	50.32	50.42	53250	53250	29487	29487	65059.0	64710.5	2	2	5	5	1 + 0 part	2032	0.0	KGVETS-2019-01-1961__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.473	1.002	0.71	0.36	109987.0	281642.0	53250	53250	29197	29197	64984.5	64636.5	2	2	5	5	Platon	CombinedPlasmids	spades
KP_NORM_BLD_14177.plasmid	4	4	2	2	1	0	50453	50453	44176	44176	28115	0	4	28115	50453	125547	50.62	51.69	28115	-	4936	-	21298.5	8559.1	1	-	3	-	0 + 0 part	0	0.0	KP_NORM_BLD_14177__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.085	1.003	0.0	1.98	28115.0	50453.0	28115	-	4936	-	21298.5	8559.1	1	-	3	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13372.plasmid	13	13	6	5	5	4	400649	400649	386464	379639	379639	353384	13	114804	400649	397576	51.66	51.7	107940	107940	26255	26255	85213.8	85872.5	2	2	5	5	4 + 0 part	5342	0.0	KP_NORM_BLD_13372__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.301	1.001	0.51	1.01	114804.0	395179.0	107940	107940	26255	26255	85153.7	85811.9	2	2	5	5	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13880.plasmid	15	15	12	7	4	1	279153	279153	272985	238678	197520	112996	15	112996	279153	342895	50.73	51.42	29393	26780	8812	-	57428.3	46752.8	2	4	9	-	0 + 0 part	0	0.0	KP_NORM_BLD_13880__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.261	1.002	18.99	1.79	112996.0	279151.0	29391	26780	8812	-	57427.9	46752.4	2	4	9	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2006_37102.plasmid	17	17	8	3	1	1	131017	131017	110763	74181	50228	50228	17	50228	131017	163007	52.89	52.72	11701	9025	3338	-	23975.7	19270.5	3	4	10	-	0 + 0 part	0	0.0	KP_NORM_BLD_2006_37102__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.298	1.001	2.29	1.53	50228.0	131017.0	11701	9025	3338	-	23975.7	19270.5	3	4	10	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2014_104302.plasmid	15	15	9	6	3	2	241439	241439	230171	210567	166124	139053	15	81128	241439	280779	51.29	51.67	57925	27071	7264	-	47641.9	40966.8	2	3	7	-	0 + 0 part	0	0.0	KP_NORM_BLD_2014_104302__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.808	1.002	0.0	0.0	81128.0	241439.0	57925	27071	7264	-	47641.9	40966.8	2	3	7	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_14164.plasmid	5	5	2	1	0	0	35139	35139	25225	16880	0	0	5	16880	35139	52304	48.04	49.31	8345	4252	3993	-	11138.1	7482.8	2	3	4	-	0 + 0 part	0	0.0	KP_NORM_BLD_14164__allPlasmids	1.0	1.0	8345.0	1.0	0.0	0.0	0.0	66.932	0.995	0.0	5.74	16880.0	34836.0	4252	3993	3863	-	10078.0	6770.6	2	4	5	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2009_62172.plasmid	35	35	18	10	3	1	309623	309623	268972	216017	125854	52850	35	52850	309623	434054	51.42	52.06	14472	8030	4038	-	23260.8	16592.6	5	11	21	-	0 + 0 part	0	0.0	KP_NORM_BLD_2009_62172__allPlasmids	1.0	1.0	11411.0	0.0	0.0	0.0	0.0	71.256	1.001	28.11	4.2	52850.0	309547.0	14472	8030	4038	-	23120.8	16492.7	5	11	21	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2007_46696.plasmid	6	6	4	4	2	1	157744	157744	151370	151370	121884	81021	6	81021	157744	225907	52.08	53.17	81021	40863	13831	-	55099.2	38474.1	1	2	4	-	1 + 0 part	2597	0.0	KP_NORM_BLD_2007_46696__allPlasmids	1.0	1.0	81021.0	0.0	0.0	0.0	0.0	68.565	1.002	5.16	0.0	46622.0	155147.0	40863	34399	13831	-	34722.9	24245.9	2	3	5	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2009_61895.plasmid	23	23	11	6	2	1	279582	279582	245980	210851	148136	111800	23	111800	279582	328084	50.44	50.35	36336	21453	4135	-	54437.1	46389.4	2	3	13	-	1 + 0 part	2185	0.0	KP_NORM_BLD_2009_61895__allPlasmids	1.0	1.0	36336.0	1.0	0.0	0.0	0.0	84.306	1.003	5.77	2.52	111800.0	277315.0	21453	14438	4135	-	52226.2	44505.4	3	4	14	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2010_70364.plasmid	21	21	10	6	3	1	202559	202559	169630	143591	104161	51588	21	51588	202559	269834	51.44	54.3	25960	11862	4091	-	23925.6	17960.4	3	6	13	-	2 + 3 part	16329	0.0	KP_NORM_BLD_2010_70364__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.5	1.008	23.63	2.15	51588.0	186230.0	25960	11862	2294	-	23575.7	17697.8	3	6	15	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_1883.plasmid	46	46	25	12	2	0	387983	387983	321421	223680	67732	0	46	37249	387983	566215	47.86	49.59	11807	7812	3932	-	15347.0	10516.1	10	19	32	-	0 + 2 part	1706	0.0	KP_NORM_BLD_1883__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	1.0	68.021	1.003	9.32	0.26	37249.0	386277.0	11807	7812	3932	-	15336.3	10508.8	10	19	32	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2006_36504.plasmid	15	15	8	7	4	1	260655	260655	241781	236353	187343	75429	15	75429	260655	286053	50.56	50.38	35883	35883	13734	2438	41490.2	37806.4	3	3	7	13	0 + 0 part	0	0.0	KP_NORM_BLD_2006_36504__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.063	1.001	0.0	0.0	75429.0	260648.0	35883	35883	13734	2438	41488.3	37804.7	3	3	7	13	Platon	CombinedPlasmids	spades
KGVETS-2019-01-1382.plasmid	8	8	6	5	4	1	184373	184373	180118	170223	150871	54222	8	54222	184373	220792	51.11	49.78	40231	30823	19352	-	36044.3	30098.9	2	3	5	-	1 + 0 part	54222	0.0	KGVETS-2019-01-1382__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.89	1.001	23.82	0.77	40231.0	130151.0	25595	19352	-	-	20098.2	16783.1	3	4	-	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2008_55014.plasmid	20	20	10	8	4	1	286410	286410	261282	246787	168800	58441	20	58441	286410	348297	46.88	47.74	41509	24207	6738	-	33060.6	27186.2	3	5	10	-	1 + 0 part	1999	0.0	KP_NORM_BLD_2008_55014__allPlasmids	1.0	1.0	11919.0	0.0	0.0	0.0	0.0	81.571	1.001	5.63	1.06	58441.0	284272.0	41509	24207	6738	-	32853.7	27016.1	3	5	10	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2010_71621.plasmid	13	13	9	5	3	1	231166	231166	221524	194289	166955	109926	13	109926	231166	257384	50.62	50.84	29471	29471	7643	-	61961.9	55650.3	2	2	7	-	0 + 0 part	0	0.0	KP_NORM_BLD_2010_71621__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.683	1.001	0.87	2.16	109926.0	231166.0	29471	29471	7643	-	61961.9	55650.3	2	2	7	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2010_70236.plasmid	11	11	5	4	2	1	189728	189728	169330	162351	136758	92860	11	92860	189728	200557	51.3	51.43	43898	43898	4900	4135	58020.5	54887.7	2	2	6	8	0 + 0 part	0	0.0	KP_NORM_BLD_2010_70236__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.537	1.001	0.0	0.53	92860.0	189728.0	43898	43898	4900	4135	58020.5	54887.7	2	2	6	8	Platon	CombinedPlasmids	spades
KP_NORM_BLD_60429.plasmid	37	37	15	9	5	1	399588	399588	339737	300778	242894	109247	37	109247	399588	562351	49.77	51.24	27462	11307	3473	-	44898.8	31903.6	4	8	20	-	6 + 0 part	9993	0.0	KP_NORM_BLD_60429__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.208	1.001	2.57	1.03	109247.0	389595.0	27462	11307	3473	-	44855.4	31872.8	4	8	20	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2008_54367.plasmid	23	23	17	7	2	2	265466	265466	249820	178739	111468	111468	23	58063	265466	251278	52.16	52.12	15867	15926	5925	6416	29116.0	30760.0	4	3	16	14	1 + 0 part	53405	0.0	KP_NORM_BLD_2008_54367__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.047	1.003	2.36	1.42	58063.0	211825.0	9504	9504	-	-	18365.8	19402.8	7	7	-	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_14179.plasmid	18	18	9	5	3	2	222125	222125	197557	167098	146153	116430	18	65152	222125	259768	51.12	52.24	51278	29723	4740	-	37354.5	31941.5	2	3	10	-	4 + 1 part	41681	0.0	KP_NORM_BLD_14179__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	1.0	69.099	1.005	17.73	1.66	65152.0	180444.0	51278	10029	-	-	33119.8	28320.4	2	4	-	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2009_61298.plasmid	10	10	5	4	2	1	150606	150606	135659	128618	103008	59585	10	59585	150606	159298	53.01	53.04	43423	43423	7041	4135	38959.6	36833.7	2	2	5	7	1 + 0 part	1153	0.0	KP_NORM_BLD_2009_61298__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.82	1.0	0.0	0.0	59585.0	149453.0	43423	43423	7041	4135	38950.7	36825.4	2	2	5	7	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2008_54823.plasmid	29	29	14	8	4	2	325782	325782	294273	247349	184280	111303	29	60231	325782	377013	52.3	52.56	34092	20517	6692	-	31958.8	27616.0	4	5	14	-	0 + 0 part	0	0.0	KP_NORM_BLD_2008_54823__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.378	1.0	2.15	0.31	60231.0	325782.0	34092	20517	6692	-	31958.8	27616.0	4	5	14	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13757.plasmid	3	3	1	1	1	1	119970	119970	111301	111301	111301	111301	3	111301	119970	119589	48.48	48.48	111301	111301	111301	111301	103578.3	103908.3	1	1	1	1	0 + 0 part	0	0.0	KP_NORM_BLD_13757__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.003	5.0	4.17	111301.0	119970.0	111301	111301	111301	111301	103578.3	103908.3	1	1	1	1	Platon	CombinedPlasmids	spades
KP_NORM_BLD_13889.plasmid	9	9	5	5	3	3	235280	235280	223956	223956	190605	190605	9	80858	235280	235339	52.88	52.96	55844	55844	22481	22481	56196.4	56182.3	2	2	4	4	1 + 1 part	4474	0.0	KP_NORM_BLD_13889__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.802	1.003	14.3	6.93	80858.0	230749.0	55844	55844	22481	22481	56122.0	56108.0	2	2	4	4	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2008_55153.plasmid	26	26	17	11	4	0	331951	331951	307322	263641	148676	0	26	42332	331951	448467	52.08	52.45	22362	16572	6143	-	23955.0	17731.3	5	8	16	-	1 + 2 part	14193	0.0	KP_NORM_BLD_2008_55153__allPlasmids	1.0	1.0	17811.0	1.0	0.0	0.0	0.0	70.704	1.001	5.04	0.0	41953.0	317338.0	22362	14623	3251	-	22742.5	16833.8	5	9	18	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2009_62777.plasmid	12	12	7	4	3	0	151498	151498	133604	110327	96577	0	12	43486	151498	160118	52.99	53.03	26073	26073	4621	4060	24721.8	23390.9	3	3	8	10	0 + 0 part	0	0.0	KP_NORM_BLD_2009_62777__allPlasmids	1.0	1.0	4621.0	0.0	0.0	0.0	0.0	94.6	1.0	0.0	0.66	43486.0	151498.0	26073	26073	4134	3910	24685.1	23356.2	3	3	8	10	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2009_63807.plasmid	34	34	10	3	2	0	194073	194073	126473	72648	60891	0	34	31896	194073	256720	52.87	52.6	8984	4836	3204	-	13661.1	10327.4	6	11	23	-	0 + 0 part	0	0.0	KP_NORM_BLD_2009_63807__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.425	1.001	68.12	3.1	31896.0	193776.0	8984	4836	3204	-	13655.6	10323.2	6	11	23	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2009_63475.plasmid	13	13	8	6	3	3	312834	312834	299834	283879	246264	246264	13	114184	312834	661218	51.79	51.95	75982	-	10694	-	72252.6	34184.0	2	-	6	-	0 + 0 part	0	0.0	KP_NORM_BLD_2009_63475__allPlasmids	1.0	1.0	114184.0	0.0	0.0	0.0	0.0	47.257	1.001	0.0	0.96	98338.0	312834.0	75982	-	10694	-	62290.4	29470.7	2	-	7	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2011_74838.plasmid	15	15	10	8	4	1	235884	235884	225200	207804	142616	50155	15	50155	235884	278442	50.3	50.9	27199	27199	9478	-	28374.3	24037.5	4	4	9	-	0 + 0 part	0	0.0	KP_NORM_BLD_2011_74838__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.624	1.001	0.0	0.42	50155.0	235884.0	27199	27199	9478	-	28374.3	24037.5	4	4	9	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2012_85054.plasmid	16	16	8	4	2	2	201699	201699	177927	148850	120632	120632	16	70319	201699	251168	51.89	52.41	50313	14228	4638	-	40527.7	32545.6	2	3	9	-	1 + 0 part	2581	0.0	KP_NORM_BLD_2012_85054__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.145	1.002	1.0	1.0	70319.0	199118.0	50313	14228	4638	-	40494.7	32519.0	2	3	9	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2012_86925.plasmid	4	4	2	2	2	2	148900	148900	146438	146438	146438	146438	4	79231	148900	184454	52.03	52.05	79231	67207	67207	-	72514.4	58537.0	1	2	2	-	0 + 0 part	0	0.0	KP_NORM_BLD_2012_86925__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.656	1.001	0.0	0.0	79231.0	148900.0	79231	67207	67207	-	72514.4	58537.0	1	2	2	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2012_86962.plasmid	12	12	5	3	2	1	174019	174019	154850	140748	126737	80858	12	80858	174019	183627	51.39	51.58	45879	45879	4579	2854	51707.7	49002.2	2	2	6	8	1 + 0 part	2116	0.0	KP_NORM_BLD_2012_86962__allPlasmids	1.0	1.0	45879.0	0.0	0.0	0.0	0.0	93.615	1.0	3.49	0.0	80858.0	171903.0	44249	44249	4579	2437	50853.1	48192.3	2	2	6	9	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2011_75461.plasmid	26	26	10	6	5	4	388318	388318	351641	325774	301473	269202	26	83901	388318	506130	48.56	49.7	56643	53899	5887	-	53144.4	40773.9	3	4	10	-	1 + 0 part	1137	0.0	KP_NORM_BLD_2011_75461__allPlasmids	1.0	1.0	83901.0	0.0	0.0	0.0	0.0	76.417	1.001	0.0	0.26	83901.0	387010.0	56643	53899	5887	-	53135.2	40766.9	3	4	10	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2012_85408.plasmid	25	25	14	9	3	2	306070	306070	278514	242472	166933	121378	25	61804	306070	302052	51.38	51.67	45555	45555	5782	6563	35253.9	35722.9	3	3	14	13	0 + 4 part	25026	0.0	KP_NORM_BLD_2012_85408__allPlasmids	1.0	1.0	1491.0	0.0	0.0	0.0	0.0	92.491	1.005	14.25	1.78	61804.0	280784.0	45555	45555	1292	1852	34594.9	35055.1	3	3	18	16	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2013_90851.plasmid	7	7	6	5	2	0	140071	140071	138722	129150	81149	0	7	48199	140071	190594	52.25	52.96	32950	19213	10919	-	30769.8	22613.3	2	3	5	-	0 + 0 part	0	0.0	KP_NORM_BLD_2013_90851__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.425	1.001	0.0	0.0	48199.0	140071.0	32950	19213	10919	-	30769.8	22613.3	2	3	5	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2013_92328.plasmid	13	13	9	5	3	0	176238	176238	167351	141474	108699	0	13	38894	176238	187627	51.41	52.57	31808	31808	6023	3910	26771.7	25146.6	3	3	8	10	2 + 1 part	13387	0.0	KP_NORM_BLD_2013_92328__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.196	1.019	70.0	3.68	38894.0	162851.0	31808	31808	1699	-	26313.7	24716.5	3	3	9	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2013_91198.plasmid	21	21	11	5	3	0	194763	194763	169528	121923	92778	0	21	37285	194763	225879	51.28	52.26	18367	10778	3480	-	19840.0	17106.9	4	5	13	-	0 + 6 part	22963	0.0	KP_NORM_BLD_2013_91198__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	1.0	74.945	1.015	136.21	1.75	37285.0	171791.0	18367	10778	-	-	19015.7	16396.2	4	5	-	-	Platon	CombinedPlasmids	spades
KGVET-2020-01-4249-1.plasmid	6	6	5	2	2	1	159547	159547	157584	137287	137287	111989	6	111989	159547	175992	49.14	50.13	111989	111989	8949	1963	83548.2	75741.3	1	1	3	6	0 + 1 part	1002	0.0	KGVET-2020-01-4249-1__allPlasmids	1.0	1.0	8949.0	2.0	0.0	0.0	0.0	87.124	1.033	31.58	1.26	110987.0	158332.0	110987	110987	5590	-	81836.7	74189.7	1	1	4	-	Platon	CombinedPlasmids	spades
KP_NORM_BLD_2011_75117.plasmid	24	24	11	8	4	3	354581	354581	322804	300631	242615	204509	24	77406	354581	424896	51.89	52.21	50046	38106	5284	-	47957.8	40021.4	3	4	11	-	0 + 0 part	0	0.0	KP_NORM_BLD_2011_75117__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.334	1.001	2.82	0.85	77406.0	354581.0	50046	38106	5284	-	47957.8	40021.4	3	4	11	-	Platon	CombinedPlasmids	spades
KGVETS-2019-01-1806.plasmid	9	9	7	3	2	1	143780	143780	137465	113660	103465	58965	9	58965	143780	268706	50.89	49.88	44500	5268	5480	-	39816.5	21305.1	2	7	6	-	0 + 0 part	0	0.0	KGVETS-2019-01-1806__allPlasmids	1.0	1.0	3580.0	1.0	0.0	0.0	0.0	52.611	1.017	0.7	2.09	58965.0	143755.0	44500	5268	5480	-	39771.6	21281.1	2	7	6	-	Platon	CombinedPlasmids	spades
KGVETS-2019-01-1844.plasmid	11	11	7	7	2	0	147326	147326	140727	140727	51245	0	11	26216	147326	238706	49.11	48.87	24187	13973	10036	-	20779.6	12824.9	3	6	7	-	0 + 0 part	0	0.0	KGVETS-2019-01-1844__allPlasmids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.624	1.002	18.33	6.79	26216.0	147326.0	24187	13973	10036	-	20779.6	12824.9	3	6	7	-	Platon	CombinedPlasmids	spades
