ToolName,tag,duration,total_seconds,total_minutes,peak_rss,peak_rss_gb
HyAsP,NK_H14_050,7m 9s,429,7.15,1.2 GB,1.2
HyAsP,NK_H14_058,6m 11s,371,6.183333333333334,1.2 GB,1.2
HyAsP,NK_H15_002,6m 57s,417,6.95,1.4 GB,1.4
plasmidSPAdes,NK_H21_005,16m 34s,994,16.566666666666666,4.9 GB,4.9
HyAsP,NK_H15_001,7m 18s,438,7.3,1.2 GB,1.2
PlaScope (reads),NK_H21_005,18m 39s,1119,18.65,5.2 GB,5.2
HyAsP,NK_H14_063,7m 9s,429,7.15,1.4 GB,1.4
HyAsP,NK_H15_021,6m 55s,415,6.916666666666667,1.2 GB,1.2
HyAsP,NK_H15_014,7m 10s,430,7.166666666666667,1006 MB,1.006
HyAsP,NK_H15_032,7m 19s,439,7.316666666666666,1.4 GB,1.4
HyAsP,NK_H15_022,7m 35s,455,7.583333333333333,1.4 GB,1.4
HyAsP,NK_H15_025,7m 17s,437,7.283333333333333,1.4 GB,1.4
HyAsP,NK_H15_042,7m 10s,430,7.166666666666667,1.4 GB,1.4
HyAsP,NK_H15_047,7m 2s,422,7.033333333333333,1.4 GB,1.4
HyAsP,NK_H15_048,6m 53s,413,6.883333333333334,1.4 GB,1.4
HyAsP,NK_H15_056,7m 10s,430,7.166666666666667,1.4 GB,1.4
HyAsP,NK_H15_060,6m 53s,413,6.883333333333334,1.4 GB,1.4
PlaScope (reads),NK_H20_015,19m 19s,1159,19.316666666666666,5.1 GB,5.1
HyAsP,NK_H16_016,6m 47s,407,6.783333333333333,1.4 GB,1.4
SPAdes,NK_H20_015,15m 39s,939,15.65,4.9 GB,4.9
HyAsP,NK_H16_023,6m 55s,415,6.916666666666667,1.1 GB,1.1
HyAsP,NK_H16_005,6m 55s,415,6.916666666666667,1.4 GB,1.4
HyAsP,NK_H17_017,6m 57s,417,6.95,1.4 GB,1.4
HyAsP,NK_H16_012,7m 15s,435,7.25,1.4 GB,1.4
PlaScope (reads),NK_H21_010,21m 17s,1277,21.283333333333335,4.9 GB,4.9
HyAsP,NK_H17_002,7m 34s,454,7.566666666666666,1.5 GB,1.5
HyAsP,NK_H17_023,7m 5s,425,7.083333333333333,1.4 GB,1.4
HyAsP,NK_H17_018,6m 53s,413,6.883333333333334,1.4 GB,1.4
HyAsP,NK_H17_034,7m 3s,423,7.05,1.4 GB,1.4
HyAsP,NK_H16_021,7m 9s,429,7.15,1.1 GB,1.1
HyAsP,NK_H18_003,7m 11s,431,7.183333333333334,1.2 GB,1.2
HyAsP,NK_H18_019,7m 5s,425,7.083333333333333,1.4 GB,1.4
HyAsP,NK_H18_050,6m 46s,406,6.766666666666667,1.4 GB,1.4
HyAsP,NK_H18_026,6m 58s,418,6.966666666666667,1 GB,1
SPAdes,NK_H21_011,14m 46s,886,14.766666666666667,5.1 GB,5.1
HyAsP,NK_H18_054,6m 54s,414,6.9,1.4 GB,1.4
SPAdes,NK_H21_010,16m 37s,997,16.616666666666667,4.5 GB,4.5
HyAsP,NK_H18_074,6m 43s,403,6.716666666666667,1.2 GB,1.2
HyAsP,NK_H18_072,6m 45s,405,6.75,1.1 GB,1.1
HyAsP,NK_H1_012,6m 47s,407,6.783333333333333,1.4 GB,1.4
HyAsP,NK_H1_002,6m 52s,412,6.866666666666666,1.3 GB,1.3
SPAdes,NK_H20_010,41m 23s,2483,41.38333333333333,6 GB,6
HyAsP,NK_H1_037,7m 16s,436,7.266666666666667,1.4 GB,1.4
PlaScope (reads),NK_H21_011,17m 40s,1060,17.666666666666668,5.3 GB,5.3
HyAsP,NK_H17_042,7m 1s,421,7.016666666666667,1.4 GB,1.4
HyAsP,NK_H1_011,6m 43s,403,6.716666666666667,1.3 GB,1.3
HyAsP,NK_H1_040,7m 18s,438,7.3,1.4 GB,1.4
HyAsP,NK_H2_019,7m 6s,426,7.1,981 MB,0.981
HyAsP,NK_H19_011,7m 30s,450,7.5,1.4 GB,1.4
plasmidSPAdes,NK_H21_011,14m 12s,852,14.2,4.4 GB,4.4
HyAsP,NK_H18_038,7m 29s,449,7.483333333333333,1.2 GB,1.2
HyAsP,NK_H18_005,7m 6s,426,7.1,1.2 GB,1.2
HyAsP,NK_H3_015,7m 6s,426,7.1,1.1 GB,1.1
HyAsP,NK_H1_041,7m 21s,441,7.35,1.3 GB,1.3
PlaScope (reads),NK_H21_014,17m 48s,1068,17.8,5 GB,5
plasmidSPAdes,NK_H21_014,13m 5s,785,13.083333333333334,5.1 GB,5.1
HyAsP,NK_H18_073,6m 47s,407,6.783333333333333,1.2 GB,1.2
HyAsP,NK_H1_044,6m 58s,418,6.966666666666667,1.3 GB,1.3
HyAsP,NK_H1_050,6m 49s,409,6.816666666666666,1.1 GB,1.1
plasmidSPAdes,NK_H21_015,15m 33s,933,15.55,4.9 GB,4.9
HyAsP,NK_H19_015,6m 55s,415,6.916666666666667,1.4 GB,1.4
HyAsP,NK_H1_059,7m 10s,430,7.166666666666667,1.1 GB,1.1
HyAsP,NK_H1_074,6m 59s,419,6.983333333333333,1011.3 MB,1.0112999999999999
HyAsP,NK_H5_014,6m 51s,411,6.85,1.4 GB,1.4
HyAsP,NK_H1_084,6m 54s,414,6.9,1.4 GB,1.4
SPAdes,NK_H21_023,17m 35s,1055,17.583333333333332,4.9 GB,4.9
SPAdes,NK_H21_014,14m 52s,892,14.866666666666667,5.1 GB,5.1
SPAdes,NK_H21_015,16m 4s,964,16.066666666666666,5 GB,5
HyAsP,NK_H1_109,6m 58s,418,6.966666666666667,1.4 GB,1.4
HyAsP,NK_H1_098,7m 10s,430,7.166666666666667,1.4 GB,1.4
plasmidSPAdes,NK_H21_029,15m,900,15,5 GB,5
HyAsP,NK_H1_111,7m 7s,427,7.116666666666666,1.3 GB,1.3
HyAsP,NK_H1_091,7m 10s,430,7.166666666666667,1.4 GB,1.4
plasmidSPAdes,NK_H20_010,2h 10m 50s,7850,130.83333333333334,9.8 GB,9.8
plasmidSPAdes,NK_H21_036,15m 51s,951,15.85,4.6 GB,4.6
HyAsP,NK_H20_007,7m 1s,421,7.016666666666667,1.1 GB,1.1
HyAsP,NK_H20_015,6m 48s,408,6.8,1.3 GB,1.3
SPAdes,NK_H21_029,16m 35s,995,16.583333333333332,5.1 GB,5.1
PlaScope (reads),NK_H21_023,23m 27s,1407,23.45,5.5 GB,5.5
plasmidSPAdes,NK_H20_007,2h 28m 25s,8905,148.41666666666666,10.7 GB,10.7
HyAsP,NK_H21_011,6m 48s,408,6.8,1.4 GB,1.4
HyAsP,NK_H21_010,6m 42s,402,6.7,1000.3 MB,1.0003
HyAsP,NK_H20_010,6m 40s,400,6.666666666666667,1.4 GB,1.4
plasmidSPAdes,NK_H21_023,19m 33s,1173,19.55,5 GB,5
HyAsP,NK_H21_023,6m 26s,386,6.433333333333334,1.1 GB,1.1
HyAsP,NK_H21_015,6m 29s,389,6.483333333333333,1.4 GB,1.4
HyAsP,NK_H21_014,6m 37s,397,6.616666666666666,1.3 GB,1.3
PlaScope (reads),NK_H21_015,21m 31s,1291,21.516666666666666,5.6 GB,5.6
HyAsP,NK_H21_029,6m 14s,374,6.233333333333333,1.4 GB,1.4
SPAdes,NK_H21_036,13m 9s,789,13.15,5 GB,5
plasmidSPAdes,NK_H21_037,21m 26s,1286,21.433333333333334,5.1 GB,5.1
PlaScope (reads),NK_H21_036,17m 15s,1035,17.25,5.6 GB,5.6
PlaScope (reads),NK_H21_029,18m 9s,1089,18.15,5.3 GB,5.3
plasmidSPAdes,NK_H21_049,12m 42s,762,12.7,4.4 GB,4.4
plasmidSPAdes,NK_H21_050,14m 31s,871,14.516666666666667,4.9 GB,4.9
PlaScope (reads),NK_H21_037,24m 32s,1472,24.533333333333335,5.6 GB,5.6
PlaScope (reads),NK_H21_049,13m 51s,831,13.85,5 GB,5
plasmidSPAdes,NK_H21_056A,9m 44s,584,9.733333333333333,4.5 GB,4.5
PlaScope (reads),NK_H21_056A,12m 3s,723,12.05,4.4 GB,4.4
SPAdes,NK_H21_037,17m 48s,1068,17.8,5 GB,5
PlaScope (reads),NK_H21_050,17m 25s,1045,17.416666666666668,5.2 GB,5.2
PlaScope (reads),NK_H20_010,2h 31m 50s,9110,151.83333333333334,9.8 GB,9.8
SPAdes,NK_H21_056A,9m 21s,561,9.35,4.4 GB,4.4
SPAdes,NK_H21_049,11m 19s,679,11.316666666666666,4.6 GB,4.6
SPAdes,NK_H21_050,13m 40s,820,13.666666666666666,5 GB,5
plasmidSPAdes,NK_H21_076,6m 51s,411,6.85,4.3 GB,4.3
PlaScope (reads),NK_H21_067,17m 15s,1035,17.25,4.8 GB,4.8
PlaScope (reads),NK_H20_007,2h 51m 31s,10291,171.51666666666668,10.8 GB,10.8
PlaScope (reads),NK_H21_076,9m 11s,551,9.183333333333334,4.3 GB,4.3
plasmidSPAdes,NK_H21_067,13m 5s,785,13.083333333333334,5.1 GB,5.1
plasmidSPAdes,NK_H21_078,10m 51s,651,10.85,5.1 GB,5.1
SPAdes,NK_H21_067,14m 10s,850,14.166666666666666,5.1 GB,5.1
SPAdes,NK_H21_076,6m 31s,391,6.516666666666667,4.8 GB,4.8
SPAdes,NK_H21_078,11m 59s,719,11.983333333333333,5.1 GB,5.1
PlaScope (reads),NK_H21_078,14m 59s,899,14.983333333333333,5.2 GB,5.2
PlaScope (reads),NK_H21_080,22m 23s,1343,22.383333333333333,5.5 GB,5.5
plasmidSPAdes,NK_H21_080,17m 11s,1031,17.183333333333334,5.1 GB,5.1
SPAdes,NK_H21_080,19m 2s,1142,19.033333333333335,5 GB,5
plasmidSPAdes,NK_H22_009,23m 39s,1419,23.65,5.7 GB,5.7
SPAdes,NK_H22_013,19m 18s,1158,19.3,5 GB,5
SPAdes,NK_H22_015,16m 4s,964,16.066666666666666,5 GB,5
SPAdes,NK_H22_009,27m 31s,1651,27.516666666666666,4.9 GB,4.9
plasmidSPAdes,NK_H22_045,14m 51s,891,14.85,4.9 GB,4.9
SPAdes,NK_H22_045,12m 49s,769,12.816666666666666,4.7 GB,4.7
PlaScope (reads),NK_H22_009,32m 31s,1951,32.516666666666666,5.8 GB,5.8
SPAdes,NK_H22_060,11m 34s,694,11.566666666666666,4.9 GB,4.9
SPAdes,NK_H22_018,25m 50s,1550,25.833333333333332,4.9 GB,4.9
SPAdes,NK_H22_053,14m 10s,850,14.166666666666666,4.9 GB,4.9
SPAdes,NK_H22_075,13m 24s,804,13.4,5.1 GB,5.1
SPAdes,NK_H22_070,13m 26s,806,13.433333333333334,5 GB,5
plasmidSPAdes,NK_H22_027,32m 54s,1974,32.9,6.4 GB,6.4
plasmidSPAdes,NK_H22_053,13m 40s,820,13.666666666666666,4.9 GB,4.9
SPAdes,NK_H22_027,33m 33s,2013,33.55,5.1 GB,5.1
plasmidSPAdes,NK_H22_070,13m 11s,791,13.183333333333334,4.9 GB,4.9
plasmidSPAdes,NK_H22_076,13m 3s,783,13.05,5 GB,5
plasmidSPAdes,NK_H23_002,15m 31s,931,15.516666666666667,4.6 GB,4.6
SPAdes,NK_H23_005,13m 53s,833,13.883333333333333,4.7 GB,4.7
PlaScope (reads),NK_H22_015,21m 13s,1273,21.216666666666665,5.2 GB,5.2
plasmidSPAdes,NK_H23_005,15m 10s,910,15.166666666666666,5 GB,5
plasmidSPAdes,NK_H22_015,16m 29s,989,16.483333333333334,4.6 GB,4.6
plasmidSPAdes,NK_H23_007,13m,780,13,4.6 GB,4.6
SPAdes,NK_H23_002,14m 29s,869,14.483333333333333,5.1 GB,5.1
plasmidSPAdes,NK_H22_018,26m 11s,1571,26.183333333333334,5.7 GB,5.7
PlaScope (reads),NK_H22_013,22m 7s,1327,22.116666666666667,5.2 GB,5.2
PlaScope (reads),NK_H22_045,18m 47s,1127,18.783333333333335,5.2 GB,5.2
SPAdes,NK_H22_076,12m 47s,767,12.783333333333333,5.1 GB,5.1
PlaScope (reads),NK_H22_075,18m 9s,1089,18.15,5.5 GB,5.5
PlaScope (reads),NK_H22_060,14m 59s,899,14.983333333333333,5.6 GB,5.6
plasmidSPAdes,NK_H23_014,9m 22s,562,9.366666666666667,4.9 GB,4.9
PlaScope (reads),NK_H22_018,32m 54s,1974,32.9,5.8 GB,5.8
plasmidSPAdes,NK_H22_060,10m 36s,636,10.6,5 GB,5
plasmidSPAdes,NK_H23_006,9m 44s,584,9.733333333333333,4.9 GB,4.9
PlaScope (reads),NK_H22_053,17m 16s,1036,17.266666666666666,5.4 GB,5.4
PlaScope (reads),NK_H22_027,44m 11s,2651,44.18333333333333,6.5 GB,6.5
Plasmer,KP_NORM_URN_2012_81428,3m 43s,223,3.716666666666667,14.6 GB,14.6
PlaScope (reads),NK_H22_070,17m 9s,1029,17.15,5.1 GB,5.1
plasmidSPAdes,NK_H22_075,13m 18s,798,13.3,5 GB,5
SPAdes,NK_H23_007,10m 22s,622,10.366666666666667,4.7 GB,4.7
plasmidSPAdes,NK_H23_041,17m 11s,1031,17.183333333333334,4.9 GB,4.9
SPAdes,NK_H23_006,13m 5s,785,13.083333333333334,4.6 GB,4.6
plasmidSPAdes,NK_H22_013,18m 20s,1100,18.333333333333332,4.8 GB,4.8
SPAdes,NK_H23_019,15m 6s,906,15.1,5.1 GB,5.1
SPAdes,NK_H23_027,20m 6s,1206,20.1,4.6 GB,4.6
SPAdes,NK_H23_015,33m 4s,1984,33.06666666666667,5.4 GB,5.4
PlaScope (reads),NK_H22_076,17m 48s,1068,17.8,5.1 GB,5.1
PlaScope (reads),NK_H23_002,19m 55s,1195,19.916666666666668,5.4 GB,5.4
SPAdes,T7-096,30m 31s,1831,30.516666666666666,4.8 GB,4.8
SPAdes,NK_H23_049,15m 56s,956,15.933333333333334,5 GB,5
plasmidSPAdes,NK_H23_027,20m 15s,1215,20.25,5 GB,5
PlaScope (reads),NK_H23_006,14m 6s,846,14.1,4.8 GB,4.8
PlaScope (reads),NK_H23_005,20m 7s,1207,20.116666666666667,5.2 GB,5.2
SPAdes,NK_H24_006,19m 30s,1170,19.5,5 GB,5
SPAdes,NK_H24_010,13m 3s,783,13.05,5 GB,5
PlaScope (reads),NK_H23_014,14m 53s,893,14.883333333333333,5.2 GB,5.2
PlaScope (reads),NK_H23_007,17m 21s,1041,17.35,5.3 GB,5.3
SPAdes,NK_H23_041,15m 14s,914,15.233333333333333,5 GB,5
SPAdes,NK_H23_045,21m 11s,1271,21.183333333333334,4.9 GB,4.9
plasmidSPAdes,NK_H23_019,15m 47s,947,15.783333333333333,4.6 GB,4.6
plasmidSPAdes,NK_H23_049,15m 29s,929,15.483333333333333,4.6 GB,4.6
PlaScope (reads),T7-036,41m 22s,2482,41.36666666666667,5.8 GB,5.8
plasmidSPAdes,NK_H23_045,19m 47s,1187,19.783333333333335,5.1 GB,5.1
PlaScope (reads),NK_H23_027,25m 42s,1542,25.7,5.5 GB,5.5
plasmidSPAdes,NK_H24_006,20m 28s,1228,20.466666666666665,5 GB,5
plasmidSPAdes,NK_H24_010,14m 17s,857,14.283333333333333,5 GB,5
plasmidSPAdes,NK_H23_015,1h 30m 9s,5409,90.15,6.5 GB,6.5
MOB-suite,KP_NORM_BLD_13380,7m 20s,440,7.333333333333333,1.6 GB,1.6
SPAdes,NK_H24_016,32m 15s,1935,32.25,5.5 GB,5.5
PlaScope (reads),T7-103,29m 19s,1759,29.316666666666666,5 GB,5
SPAdes,NK_H24_028,43m 27s,2607,43.45,6.5 GB,6.5
plasmidSPAdes,NK_H25_002,11m 39s,699,11.65,5.1 GB,5.1
SPAdes,NK_H24_054,48m 19s,2899,48.31666666666667,7.2 GB,7.2
SPAdes,NK_H25_002,10m 54s,654,10.9,5 GB,5
SPAdes,NK_H24_044,1h 3m 52s,3832,63.86666666666667,8.9 GB,8.9
SPAdes,NK_H25_013,56m 30s,3390,56.5,8.3 GB,8.3
plasmidSPAdes,NK_H24_016,1h 32m 40s,5560,92.66666666666667,6.5 GB,6.5
SPAdes,NK_H26_006,15m 27s,927,15.45,4.6 GB,4.6
PlaScope (reads),NK_H23_015,1h 48m,6480,108,6.6 GB,6.6
plasmidSPAdes,NK_H26_006,17m 25s,1045,17.416666666666668,5 GB,5
SPAdes,NK_H29_003,19m 41s,1181,19.683333333333334,5 GB,5
plasmidSPAdes,NK_H29_003,22m 1s,1321,22.016666666666666,5.4 GB,5.4
SPAdes,NK_H28_005,35m 31s,2131,35.516666666666666,6 GB,6
plasmidSPAdes,NK_H2_007,15m 48s,948,15.8,5.1 GB,5.1
plasmidSPAdes,NK_H24_028,2h 4m 46s,7486,124.76666666666667,9.8 GB,9.8
SPAdes,NK_H3_001,10m 25s,625,10.416666666666666,5.1 GB,5.1
SPAdes,NK_H2_021,17m 39s,1059,17.65,5.1 GB,5.1
SPAdes,NK_H2_020,25m 38s,1538,25.633333333333333,5.1 GB,5.1
SPAdes,NK_H2_007,15m 35s,935,15.583333333333334,4.9 GB,4.9
SPAdes,NK_H3_007,9m 50s,590,9.833333333333334,4.4 GB,4.4
plasmidSPAdes,NK_H2_019,27m 24s,1644,27.4,5.1 GB,5.1
plasmidSPAdes,NK_H2_020,31m 39s,1899,31.65,5.3 GB,5.3
SPAdes,NK_H3_002,9m 58s,598,9.966666666666667,5.1 GB,5.1
plasmidSPAdes,NK_H3_001,10m 8s,608,10.133333333333333,5.1 GB,5.1
plasmidSPAdes,NK_H2_021,24m 17s,1457,24.283333333333335,5.1 GB,5.1
plasmidSPAdes,NK_H3_002,10m 13s,613,10.216666666666667,4.9 GB,4.9
plasmidSPAdes,NK_H3_007,12m 21s,741,12.35,5 GB,5
PlaScope (reads),NK_H23_041,19m 57s,1197,19.95,5.6 GB,5.6
PlaScope (reads),NK_H23_049,20m 8s,1208,20.133333333333333,5.1 GB,5.1
plasmidSPAdes,NK_H24_054,2h 43m,9780,163,10.6 GB,10.6
PlaScope (reads),NK_H23_045,26m 50s,1610,26.833333333333332,5.2 GB,5.2
PlaScope (reads),NK_H24_010,18m 45s,1125,18.75,5.1 GB,5.1
plasmidSPAdes,NK_H3_015,16m 27s,987,16.45,4.9 GB,4.9
plasmidSPAdes,NK_H3_009,13m 23s,803,13.383333333333333,4.9 GB,4.9
SPAdes,NK_H3_009,12m 4s,724,12.066666666666666,5 GB,5
SPAdes,NK_H3_025,12m 54s,774,12.9,4.9 GB,4.9
SPAdes,NK_H3_019,16m 32s,992,16.533333333333335,4.7 GB,4.7
plasmidSPAdes,NK_H3_025,10m 58s,658,10.966666666666667,4.7 GB,4.7
plasmidSPAdes,NK_H24_044,3h 11m 25s,11485,191.41666666666666,12.2 GB,12.2
plasmidSPAdes,NK_H28_005,2h 1m 26s,7286,121.43333333333334,9.2 GB,9.2
PlaScope (reads),NK_H24_006,25m 14s,1514,25.233333333333334,5.2 GB,5.2
plasmidSPAdes,NK_H3_019,17m 14s,1034,17.233333333333334,4.9 GB,4.9
PlaScope (reads),NK_H25_002,14m 21s,861,14.35,5.3 GB,5.3
plasmidSPAdes,NK_H4_002,15m 51s,951,15.85,5.1 GB,5.1
PlaScope (reads),NK_H26_006,21m 47s,1307,21.783333333333335,5.3 GB,5.3
PlaScope (reads),NK_H29_003,25m 18s,1518,25.3,5.6 GB,5.6
SPAdes,NK_H4_002,14m 23s,863,14.383333333333333,5.1 GB,5.1
plasmidSPAdes,NK_H4_006,18m 51s,1131,18.85,5.1 GB,5.1
plasmidSPAdes,NK_H25_013,2h 53m 2s,10382,173.03333333333333,11.4 GB,11.4
SPAdes,NK_H4_026,9m 42s,582,9.7,4.9 GB,4.9
SPAdes,NK_H4_006,19m 5s,1145,19.083333333333332,4.9 GB,4.9
SPAdes,NK_H5_010,12m 16s,736,12.266666666666667,4.6 GB,4.6
PlaScope (reads),NK_H2_007,20m 2s,1202,20.033333333333335,5 GB,5
PlaScope (reads),NK_H2_019,34m 58s,2098,34.96666666666667,5.5 GB,5.5
SPAdes,T7-264,33m 7s,1987,33.11666666666667,4.9 GB,4.9
PlaScope (reads),NK_H2_021,30m 32s,1832,30.533333333333335,5.5 GB,5.5
plasmidSPAdes,NK_H4_026,10m 41s,641,10.683333333333334,4.9 GB,4.9
SPAdes,T7-266,30m 43s,1843,30.716666666666665,4.7 GB,4.7
PlaScope (reads),NK_H2_020,40m 26s,2426,40.43333333333333,5.4 GB,5.4
PlaScope (reads),NK_H3_001,14m 45s,885,14.75,4.8 GB,4.8
PlaScope (reads),NK_H3_002,14m 25s,865,14.416666666666666,5.1 GB,5.1
PlaScope (reads),NK_H24_028,2h 30m 53s,9053,150.88333333333333,9.9 GB,9.9
PlaScope (reads),NK_H3_007,14m 8s,848,14.133333333333333,4.7 GB,4.7
PlaScope (reads),NK_H3_009,17m 25s,1045,17.416666666666668,5.4 GB,5.4
plasmidSPAdes,NK_H5_014,11m 2s,662,11.033333333333333,4.5 GB,4.5
PlaScope (reads),NK_H28_005,2h 16m 1s,8161,136.01666666666668,9.3 GB,9.3
SPAdes,NK_H5_016,10m 52s,652,10.866666666666667,5.1 GB,5.1
PlaScope (reads),NK_H3_015,21m 32s,1292,21.533333333333335,5.7 GB,5.7
plasmidSPAdes,NK_H5_016,13m 3s,783,13.05,4.8 GB,4.8
SPAdes,NK_H5_031,12m 56s,776,12.933333333333334,4.7 GB,4.7
PlaScope (reads),NK_H3_025,15m 37s,937,15.616666666666667,4.9 GB,4.9
PlaScope (reads),NK_H3_019,21m 11s,1271,21.183333333333334,5.1 GB,5.1
SPAdes,NK_H7_005,15m 42s,942,15.7,5.1 GB,5.1
PlaScope (reads),NK_H24_054,3h 1m 4s,10864,181.06666666666666,10.7 GB,10.7
plasmidSPAdes,NK_H5_031,13m 24s,804,13.4,4.9 GB,4.9
PlaScope (reads),NK_H4_006,24m 13s,1453,24.216666666666665,5.2 GB,5.2
PlaScope (reads),NK_H4_026,15m 39s,939,15.65,5.4 GB,5.4
plasmidSPAdes,NK_H7_005,14m 51s,891,14.85,4.7 GB,4.7
plasmidSPAdes,T7-267,44m 55s,2695,44.916666666666664,5.4 GB,5.4
PlaScope (reads),T7-209,1h 35m 59s,5759,95.98333333333333,6.1 GB,6.1
PlaScope (reads),NK_H5_014,13m 28s,808,13.466666666666667,4.5 GB,4.5
SPAdes,NK_H8_002,3m 24s,204,3.4,2.5 GB,2.5
PlaScope (reads),NK_H25_013,3h 10m 23s,11423,190.38333333333333,11.5 GB,11.5
PlaScope (reads),NK_H5_010,19m 20s,1160,19.333333333333332,4.9 GB,4.9
PlaScope (reads),NK_H4_002,18m 54s,1134,18.9,5 GB,5
PlaScope (reads),NK_H5_016,15m 56s,956,15.933333333333334,5.1 GB,5.1
plasmidSPAdes,NK_H8_002,5m 12s,312,5.2,3.2 GB,3.2
PlaScope (reads),NK_H24_044,3h 44m 54s,13494,224.9,12.3 GB,12.3
SPAdes,NK_H8_008,9m 36s,576,9.6,4.5 GB,4.5
plasmidSPAdes,NK_H8_022,10m 13s,613,10.216666666666667,4.4 GB,4.4
SPAdes,NK_H8_011,15m 12s,912,15.2,4.6 GB,4.6
PlaScope (reads),NK_H5_031,18m 5s,1085,18.083333333333332,5.1 GB,5.1
SPAdes,NK_H7_010,25m 8s,1508,25.133333333333333,4.6 GB,4.6
plasmidSPAdes,NK_H8_011,14m 30s,870,14.5,5.1 GB,5.1
plasmidSPAdes,NK_H8_008,13m 3s,783,13.05,4.9 GB,4.9
PlaScope (reads),NK_H7_005,18m 56s,1136,18.933333333333334,5.6 GB,5.6
PlaScope (reads),NK_H8_002,6m 50s,410,6.833333333333333,2.8 GB,2.8
SPAdes,NK_H8_022,8m 51s,531,8.85,4.6 GB,4.6
PlaScope (reads),NK_H8_022,12m 11s,731,12.183333333333334,4.5 GB,4.5
plasmidSPAdes,NK_H8_044,15m 28s,928,15.466666666666667,5 GB,5
plasmidSPAdes,NK_H8_045,14m 20s,860,14.333333333333334,5.1 GB,5.1
PlaScope (reads),NK_H8_008,16m 51s,1011,16.85,5.4 GB,5.4
PlaScope (reads),NK_H8_011,18m 54s,1134,18.9,5.4 GB,5.4
SPAdes,NK_H8_044,15m 7s,907,15.116666666666667,5 GB,5
PlaScope (reads),T7-289,43m 42s,2622,43.7,5.8 GB,5.8
SPAdes,NK_H8_045,14m 4s,844,14.066666666666666,5 GB,5
SPAdes,NK_H8_052,15m 26s,926,15.433333333333334,4.6 GB,4.6
SPAdes,NK_H8_057,15m 20s,920,15.333333333333334,5.1 GB,5.1
SPAdes,NK_H8_060,15m 33s,933,15.55,5 GB,5
plasmidSPAdes,NK_H7_010,1h 3m 30s,3810,63.5,5.6 GB,5.6
PlaScope (reads),NK_H8_045,18m 47s,1127,18.783333333333335,5.5 GB,5.5
PlaScope (reads),NK_H8_044,19m 50s,1190,19.833333333333332,5.8 GB,5.8
plasmidSPAdes,NK_H8_052,14m 33s,873,14.55,4.5 GB,4.5
plasmidSPAdes,NK_H8_060,14m 57s,897,14.95,5 GB,5
plasmidSPAdes,NK_H8_057,13m 47s,827,13.783333333333333,4.6 GB,4.6
PlaScope (reads),NK_H8_052,18m 52s,1132,18.866666666666667,5.3 GB,5.3
SPAdes,NK_H8_070,14m 36s,876,14.6,4.9 GB,4.9
SPAdes,NK_H8_077,13m 5s,785,13.083333333333334,5 GB,5
SPAdes,NK_H8_083,11m 21s,681,11.35,4.6 GB,4.6
plasmidSPAdes,NK_H8_083,11m 10s,670,11.166666666666666,4.6 GB,4.6
PlaScope (reads),NK_H8_057,18m 9s,1089,18.15,5.3 GB,5.3
plasmidSPAdes,NK_H8_070,15m,900,15,4.9 GB,4.9
SPAdes,NK_H8_100,18m 33s,1113,18.55,5 GB,5
PlaScope (reads),NK_H8_070,18m 5s,1085,18.083333333333332,5.3 GB,5.3
PlaScope (reads),NK_H8_060,20m 18s,1218,20.3,5.7 GB,5.7
PlaScope (reads),NK_H8_077,19m 33s,1173,19.55,5.3 GB,5.3
PlaScope (reads),NK_H8_083,14m 16s,856,14.266666666666667,5.1 GB,5.1
PlaScope (reads),NK_H7_010,1h 15m 26s,4526,75.43333333333334,5.6 GB,5.6
plasmidSPAdes,NK_H8_077,14m,840,14,4.9 GB,4.9
SPAdes,NK_H8_111,36m 50s,2210,36.833333333333336,5.9 GB,5.9
PlaScope (reads),NK_H8_100,24m 38s,1478,24.633333333333333,5.3 GB,5.3
SPAdes,NK_H8_114,35m 45s,2145,35.75,5.8 GB,5.8
SPAdes,NK_H8_118,42m 51s,2571,42.85,6 GB,6
SPAdes,NK_H8_121,34m 12s,2052,34.2,6.1 GB,6.1
plasmidSPAdes,NK_H8_111,1h 44m 32s,6272,104.53333333333333,6.5 GB,6.5
SPAdes,NK_H9_001,22m 11s,1331,22.183333333333334,4.8 GB,4.8
plasmidSPAdes,NK_H9_001,21m 39s,1299,21.65,5.1 GB,5.1
plasmidSPAdes,NK_H8_114,1h 51m 23s,6683,111.38333333333334,6.5 GB,6.5
SPAdes,NK_H9_003,18m 24s,1104,18.4,4.9 GB,4.9
plasmidSPAdes,NK_H9_003,17m 43s,1063,17.716666666666665,5 GB,5
plasmidSPAdes,NK_H8_121,1h 50m 43s,6643,110.71666666666667,6.3 GB,6.3
plasmidSPAdes,NK_H8_118,2h 7m 43s,7663,127.71666666666667,7.1 GB,7.1
PlaScope (reads),NK_H8_111,2h 9m 24s,7764,129.4,6.7 GB,6.7
PlaScope (reads),NK_H9_001,27m 39s,1659,27.65,5.1 GB,5.1
PlaScope (reads),NK_H8_114,2h 7m 36s,7656,127.6,6.6 GB,6.6
PlaScope (reads),NK_H9_003,23m 15s,1395,23.25,5.3 GB,5.3
plasmidSPAdes,T7-007,38m 36s,2316,38.6,5 GB,5
SPAdes,T7-010,22m,1320,22,4.9 GB,4.9
SPAdes,T7-007,23m 49s,1429,23.816666666666666,5 GB,5
